Baník Ostrava;69;96;White;Blue;Lime;16 Jan Laštùvka GK;9 Lukáš Pazdera RB;3 Martin Šindeláø CB;15 Patrizio Stronati CB;25 Jiøí Fleišman LB;5 Adam Jánoš CM;10 Robert Hrubý CM;8 Diop Dame CAM;7 Martin Fillo RM;21 Daniel Holzer LM;27 Milan Baroš ST
SK Sigma Olomouc;90;55;Blue;White;OrangeRed;30 Miloš Buchta GK;27 Martin Sladký RB;2 Václac Jemelka CB;12 Jan Štìrba CB;21 Michal Vepøek LB;22 Lukáš Kalvach CM;8 David Houska CM;6 Jakub Plšek CAM;23 Tomáš Zahradníèek RM;20 Šimon Falta LM;26 Martin Nešpor ST
Bohemians Praha 1905;80;57;LimeGreen;White;OrangeRed;1 Roman Valeš GK;16 Martin Dostál RB;14 Michal Šmíd CB;15 Daniel Krch CB;3 Till Schumacher LB;5 David Bartek CM;21 Filip Hašek CM;10 Jakub Neèas CAM;7 Rudolf Rieter RM;8 Jan Záviška LM;6 Yusuf Abdulla ST
AC Sparta Praha;51;120;DarkRed;White;Yellow;1 Florin Nita GK;18 Alexandru Chipciu RB;2 Semih Kaya CB;5 Uroš Radakovic CB;26 Nhamoinesu Costa LB;10 Nicolae Stanciu CM;17 Martin Frýdek CM;23 Josef Šural CAM;9 Guelor Kanga RM;22 Srdjan Plavšiè LM;30 Benjamin Tetteh ST
Fastav Zlín;60;103;Yellow;White;DarkGreen;17 Stanislav Dostál GK;27 Ondøej Baèo RB;3 Petr Buchta CB;18 Zoran Gajiè CB;21 Josef Haníèek LB;19 Pablo Podio CM;5 Petr Hronek CM;8 Petr Jiráèek CAM;16 Róbert Matìjov RM;22 Lukáš Bartošák LM;10 Jean-David Beauguel ST
FC Slovan Liberec;90;115;Blue;White;Lime;1 Filip Nguyen GK;18 Martin Koscelnik RB;4 Ondøej Karafiát CB;30 Taras Kacharaba CB;11 Matìj Hybš LB;2 Radim Breite CM;28 Oscar Dorley CM;22 Petr Ševèík CAM;13 Roman Potoèný RM;10 Jakub Pešek LM;7 Filip Oršula ST
1. FK Pøíbram;69;37;DarkGreen;Gray;Red;44 Milan Švanger GK;5 Matrin Nový RB;6 Milan Nitrianský CB;20 Jaroslav Tregler CB;19 Rudolf Skácel LB;9 Petr Prùcha CM;3 Roman Kvìt CM;7 Emmanuel Antwi CAM;15 Antonín Fantiš RM;28 Filip Hlúpik LM;27 Radek Voltr ST
FK Dukla Praha;103;47;DarkRed;Orange;Gray;1 Filip Rada GK;25 Michal Bezpalec RB;44 Ján Ïurica CB;14 Ivan Ostojiè CB;21 David Doudìra LB ;8 Mohamed Doumbia CM;15 Daniel Tetour CM;23 Uroš Djuranoviè CAM;20 Branislav Miloševiè RM;10 Bílovský Frederik LM ;26 Ivan Schranz ST
FK Jablonec;44;103;DarkGreen;DarkGray;OrangeRed;30 Vlastimil Hrubý GK;26 Tomáš Holeš RB;2 David Hovorka CB;13 David Lischka CB;5 Matìj Hanousek LB;3 Tomáš Hubschman CM;7 Jakub Považanec CM;10 Michal Trávník CAM;8 Lukáš Masopust RM;25 Vladimir Jovoviè LM ;19 Jan Chramosta ST
SK Slavia Praha;36;120;Red;White;Lime;1 Ondøej Koláø GK;5 Vladimír Coufal RB;13 Michael Ngadeu-Ngadjui CB;19 Simon Deli CB;18 Jan Boøil LB;10 Josef Hušbauer CM;22 Tomáš Souèek CM;27 Ibrahim Traore CAM;17 Miroslav Stoch RM;8 Jaromír Zmrhal LM;9 Peter Olayinka ST
1. FC Slovácko;80;50;Navy;White;Red;25 Michal Danìk GK;24 Jan Juroška RB;6 Stanislav Hofmann CB;26 Jiøí Krejèí CB;23 Petr Reinberk LB;28 Vlastimil Daníèek CM;20 Marek Havlík CM;17 Tomáš Zajíc CAM;10 Jan Navrátil RM;19 Jan Kalabiška LM;7 Jan Kutcha ST
Slezský FC Opava;72;57;Yellow;Blue;LightBlue;1 Vojtìch Šrom GK;9 Matìj Hrabina RB;23 Jaroslav Svozil CB;2 Dominik Simerský CB;5 Jan Žídek LB;7 Pavel Zavadil CM;8 Tomáš Jursa CM;19 Jakub Janetzký CAM;10 Nemanja Kuzmanoviè RM;17 Petr Zapalaè LM;13 Tomáš Smola ST
FK Mladá Boleslav;51;48;LightBlue;White;GreenYellow;33 Jan Šeda GK;21 Lukáš Pauschek RB;27 Matìj Chaluš CB;28 Lukáš Hùlka CB;29 Miroslav Keresteš LB;8 Marek Matìjovský CM;22 Laco Teckács CM;9 Tomáš Ladra CAM;14 Tomáš Pøikryl RM;19 Tiémoko Konaté LM;11 Nikolay Komlichenko ST
MFD OKD Karviná;72;44;LightGreen;White;OrangeRed;12 Martin Berkovec GK;2 Benjamin Èoliè RB;66 Marek Janeèka CB;13 Jan Krivák CB;14 Jan Moravec LB;23 Lukáš Budínský CM;8 Vojtìch Smrž CM;77 Adriel-D´Avila Ba-Loua CAM;10 Ondøej Lingr RM;26 Bojan Letiè LM;15 Tomáš Wágner ST
FK Teplice;85;60;Yellow;LightBlue;LightBlue;21 Jakub Diviš GK;17 Tomáš Vondrášek RB;18 Michal Jeøábek CB;13 Alex Král CB;24 Jan Krob LB;5 Admir Ljevakoviè CM;14 Patrik Žitný CM ;27 Tomáš Kuèera CAM;10 Pavel Moulis RM;23 Jakub Hora LM;28 David Vaneèek.II ST
FC Viktoria Plzeò;63;103;Red;Blue;Yelow;16 Aleš Hruška GK;14 Roman Øezník RB;2 Lukáš Hejda CB;4 Roman Hubník CB;8 David Limberský LB;17 Patrik Hrosovsky CM;6 Roman Procházka CM;7 Tomáš Hoøava CAM;10 Jan Kopic RM;11 Milan Petržela LM;15 Michael Krmenèík ST
