1;Baník Ostrava;FK Jablonec
1;SK Sigma Olomouc;SK Slavia Praha
1;Bohemians Praha 1905;1. FC Slovácko
1;AC Sparta Praha;Slezský FC Opava
1;Fastav Zlín;FK Mladá Boleslav
1;FC Slovan Liberec;MFD OKD Karviná
1;1. FK Pøíbram;FK Teplice
1;FK Dukla Praha;FC Viktoria Plzeò
2;FC Viktoria Plzeò;FC Slovan Liberec
2;FK Jablonec;AC Sparta Praha
2;FK Teplice;FK Dukla Praha
2;SK Slavia Praha;MFD OKD Karviná
2;1. FC Slovácko;Baník Ostrava
2;Slezský FC Opava;Fastav Zlín
2;1. FK Pøíbram;Bohemians Praha 1905
2;FK Mladá Boleslav;SK Sigma Olomouc
3;FK Dukla Praha;Bohemians Praha 1905
3;AC Sparta Praha;1. FC Slovácko
3;MFD OKD Karviná;FK Mladá Boleslav
3;SK Sigma Olomouc;FC Viktoria Plzeò
3;FC Slovan Liberec;FK Teplice
3;Fastav Zlín;FK Jablonec
3;Baník Ostrava;1. FK Pøíbram
3;SK Slavia Praha;Slezský FC Opava
4;Bohemians Praha 1905;Baník Ostrava
4;FK Teplice;AC Sparta Praha
4;1. FC Slovácko;SK Sigma Olomouc
4;FC Viktoria Plzeò;Fastav Zlín
4;FK Jablonec;MFD OKD Karviná
4;Slezský FC Opava;FC Slovan Liberec
4;1. FK Pøíbram;FK Dukla Praha
4;FK Mladá Boleslav;SK Slavia Praha
5;SK Sigma Olomouc;Baník Ostrava
5;AC Sparta Praha;1. FK Pøíbram
5;MFD OKD Karviná;FC Viktoria Plzeò
5;SK Slavia Praha;FK Jablonec
5;FK Mladá Boleslav;Slezský FC Opava
5;Fastav Zlín;FK Teplice
5;FC Slovan Liberec;Bohemians Praha 1905
5;FK Dukla Praha;1. FC Slovácko
6;1. FC Slovácko;Fastav Zlín
6;FK Jablonec;SK Sigma Olomouc
6;FC Viktoria Plzeò;FK Mladá Boleslav
6;FK Teplice;SK Slavia Praha
6;Baník Ostrava;FK Dukla Praha
6;Slezský FC Opava;MFD OKD Karviná
6;1. FK Pøíbram;FC Slovan Liberec
6;Bohemians Praha 1905;AC Sparta Praha
7;SK Sigma Olomouc;Bohemians Praha 1905
7;MFD OKD Karviná;1. FC Slovácko
7;SK Slavia Praha;FC Viktoria Plzeò
7;Slezský FC Opava;FK Jablonec
7;FK Mladá Boleslav;FK Teplice
7;Fastav Zlín;1. FK Pøíbram
7;FC Slovan Liberec;Baník Ostrava
7;AC Sparta Praha;FK Dukla Praha
8;Baník Ostrava;AC Sparta Praha
8;1. FC Slovácko;SK Slavia Praha
8;FK Teplice;MFD OKD Karviná
8;FK Jablonec;FK Mladá Boleslav
8;FK Dukla Praha;FC Slovan Liberec
8;FC Viktoria Plzeò;Slezský FC Opava
8;1. FK Pøíbram;SK Sigma Olomouc
8;Bohemians Praha 1905;Fastav Zlín
9;FK Jablonec;FC Viktoria Plzeò
9;SK Slavia Praha;Bohemians Praha 1905
9;AC Sparta Praha;FC Slovan Liberec
9;Slezský FC Opava;FK Teplice
9;FK Mladá Boleslav;1. FC Slovácko
9;MFD OKD Karviná;1. FK Pøíbram
9;SK Sigma Olomouc;FK Dukla Praha
9;Fastav Zlín;Baník Ostrava
10;FK Teplice;FK Jablonec
10;Baník Ostrava;SK Slavia Praha
10;FC Slovan Liberec;SK Sigma Olomouc
10;1. FC Slovácko;Slezský FC Opava
10;1. FK Pøíbram;FK Mladá Boleslav
10;FK Dukla Praha;Fastav Zlín
10;FC Viktoria Plzeò;AC Sparta Praha
10;Bohemians Praha 1905;MFD OKD Karviná
11;SK Slavia Praha;1. FK Pøíbram
11;FC Viktoria Plzeò;FK Teplice
11;FK Jablonec;1. FC Slovácko
11;Slezský FC Opava;Bohemians Praha 1905
11;MFD OKD Karviná;FK Dukla Praha
11;SK Sigma Olomouc;AC Sparta Praha
11;FK Mladá Boleslav;Baník Ostrava
11;Fastav Zlín;FC Slovan Liberec
12;AC Sparta Praha;FK Mladá Boleslav
12;FC Slovan Liberec;SK Slavia Praha
12;FK Dukla Praha;Slezský FC Opava
12;1. FC Slovácko;FK Teplice
12;Baník Ostrava;MFD OKD Karviná
12;1. FK Pøíbram;FK Jablonec
