***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;7:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;7:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;7:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;7:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;7:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;7:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;8:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;8:05:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:06:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;8:07:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:08:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:09:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:10:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;8:11:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:12:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;8:13:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:14:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:15:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:16:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;8:17:00;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;9:00:00;;;;;;
R 764;Karlstejn_kolej_A;Beroun_kolej_A;9:01:00;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;9:02:00;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;9:03:00;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;9:04:00;;;;;;
R 764;Beroun_kolej_A;Karlstejn_kolej_A;9:05:00;;;;;;
