***;Taurus_EVB;R 764;Beroun_kolej_A;Karlstejn_kolej_A;0,7;ahead;ahead;1500;8200
***;Ragulin;N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;0,8;ahead;ahead;9000;8000
***;Herkules_Priessnitz;Os 8845;Beroun_kolej_C;Lhota_kolej_C;0,7;reverse;ahead;3100;3000
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:20:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;7:20:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:20:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:21:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;7:21:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:22:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:22:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;7:22:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:23:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:23:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;7:24:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:24:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:25:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;7:25:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:25:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:26:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;7:26:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:27:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:27:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;7:27:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:28:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:28:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;7:29:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:29:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:30:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;7:30:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:30:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:31:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;7:31:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:32:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;7:32:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;7:32:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;7:33:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;7:33:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;7:34:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;7:34:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:05:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;8:05:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:05:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:06:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;8:06:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:07:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:07:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;8:07:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:08:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:08:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;8:09:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:09:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:10:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;8:10:25;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:10:50;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:11:15;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;8:11:40;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:12:05;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:12:30;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;8:12:55;;;;;;
N 31 54 597 5 004;Beroun_kolej_B;Karlstejn_kolej_B;8:13:20;;;;;;
Os 8845;Lhota_kolej_C;Beroun_kolej_C;8:13:45;;;;;;
R 765;Beroun kolej A;Karlstejn kolej A;8:14:10;;;;;;
N 31 54 597 5 004;Karlstejn_kolej_B;Beroun_kolej_B;8:14:35;;;;;;
Os 8845;Beroun_kolej_C;Lhota_kolej_C;8:15:00;;;;;;
R 765;Karlstejn kolej A;Beroun kolej A;8:15:25;;;;;;
