***;Taurus EVB;6;5;R 764;Beroun;Karlstejn;0,6;Forward;Forward;200;3300
***;Ragulin;4;3;N 31 54 597 5 004;Beroun;Karlstejn;0,8;Forward;Forward;5200;3600
***;Desiero DB642 133-3;1;2;Os 8845;Beroun;Karlstejn,hrad;1;Backward;Forward;900;1500
Os 8845;Beroun;Karlstejn,hrad;0:00:00;;;;;;;;
R 764;Karlstejn;Beroun;0:01:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:02:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:03:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:04:00;;;;;;;;
R 764;Beroun;Karlstejn;0:05:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:06:00;;;;;;;;
R 764;Karlstejn;Beroun;0:07:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:08:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:09:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:10:00;;;;;;;;
R 764;Beroun;Karlstejn;0:11:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:12:00;;;;;;;;
R 764;Karlstejn;Beroun;0:13:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:14:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:15:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:16:00;;;;;;;;
R 764;Beroun;Karlstejn;0:17:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:18:00;;;;;;;;
R 764;Karlstejn;Beroun;0:19:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:20:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:21:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:22:00;;;;;;;;
R 764;Beroun;Karlstejn;0:23:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:24:00;;;;;;;;
R 764;Karlstejn;Beroun;0:25:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:26:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:27:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:28:00;;;;;;;;
R 764;Beroun;Karlstejn;0:29:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:30:00;;;;;;;;
R 764;Karlstejn;Beroun;0:31:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:32:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:33:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:34:00;;;;;;;;
R 764;Beroun;Karlstejn;0:35:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:36:00;;;;;;;;
R 764;Karlstejn;Beroun;0:37:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:38:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:39:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:40:00;;;;;;;;
R 764;Beroun;Karlstejn;0:41:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:42:00;;;;;;;;
R 764;Karlstejn;Beroun;0:43:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:44:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:45:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:46:00;;;;;;;;
R 764;Beroun;Karlstejn;0:47:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:48:00;;;;;;;;
R 764;Karlstejn;Beroun;0:49:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:50:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:51:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:52:00;;;;;;;;
R 764;Beroun;Karlstejn;0:53:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;0:54:00;;;;;;;;
R 764;Karlstejn;Beroun;0:55:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;0:56:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;0:57:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;0:58:00;;;;;;;;
R 764;Beroun;Karlstejn;0:59:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:00:00;;;;;;;;
R 764;Karlstejn;Beroun;1:01:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:02:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:03:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:04:00;;;;;;;;
R 764;Beroun;Karlstejn;1:05:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:06:00;;;;;;;;
R 764;Karlstejn;Beroun;1:07:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:08:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:09:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:10:00;;;;;;;;
R 764;Beroun;Karlstejn;1:11:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:12:00;;;;;;;;
R 764;Karlstejn;Beroun;1:13:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:14:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:15:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:16:00;;;;;;;;
R 764;Beroun;Karlstejn;1:17:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:18:00;;;;;;;;
R 764;Karlstejn;Beroun;1:19:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:20:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:21:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:22:00;;;;;;;;
R 764;Beroun;Karlstejn;1:23:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:24:00;;;;;;;;
R 764;Karlstejn;Beroun;1:25:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:26:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:27:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:28:00;;;;;;;;
R 764;Beroun;Karlstejn;1:29:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:30:00;;;;;;;;
R 764;Karlstejn;Beroun;1:31:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:32:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:33:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:34:00;;;;;;;;
R 764;Beroun;Karlstejn;1:35:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:36:00;;;;;;;;
R 764;Karlstejn;Beroun;1:37:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:38:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:39:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:40:00;;;;;;;;
R 764;Beroun;Karlstejn;1:41:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:42:00;;;;;;;;
R 764;Karlstejn;Beroun;1:43:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:44:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:45:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:46:00;;;;;;;;
R 764;Beroun;Karlstejn;1:47:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:48:00;;;;;;;;
R 764;Karlstejn;Beroun;1:49:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:50:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:51:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:52:00;;;;;;;;
R 764;Beroun;Karlstejn;1:53:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;1:54:00;;;;;;;;
R 764;Karlstejn;Beroun;1:55:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;1:56:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;1:57:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;1:58:00;;;;;;;;
R 764;Beroun;Karlstejn;1:59:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:00:00;;;;;;;;
R 764;Karlstejn;Beroun;2:01:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:02:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:03:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:04:00;;;;;;;;
R 764;Beroun;Karlstejn;2:05:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:06:00;;;;;;;;
R 764;Karlstejn;Beroun;2:07:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:08:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:09:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:10:00;;;;;;;;
R 764;Beroun;Karlstejn;2:11:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:12:00;;;;;;;;
R 764;Karlstejn;Beroun;2:13:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:14:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:15:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:16:00;;;;;;;;
R 764;Beroun;Karlstejn;2:17:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:18:00;;;;;;;;
R 764;Karlstejn;Beroun;2:19:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:20:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:21:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:22:00;;;;;;;;
R 764;Beroun;Karlstejn;2:23:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:24:00;;;;;;;;
R 764;Karlstejn;Beroun;2:25:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:26:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:27:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:28:00;;;;;;;;
R 764;Beroun;Karlstejn;2:29:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:30:00;;;;;;;;
R 764;Karlstejn;Beroun;2:31:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:32:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:33:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:34:00;;;;;;;;
R 764;Beroun;Karlstejn;2:35:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:36:00;;;;;;;;
R 764;Karlstejn;Beroun;2:37:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:38:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:39:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:40:00;;;;;;;;
R 764;Beroun;Karlstejn;2:41:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:42:00;;;;;;;;
R 764;Karlstejn;Beroun;2:43:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:44:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:45:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:46:00;;;;;;;;
R 764;Beroun;Karlstejn;2:47:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:48:00;;;;;;;;
R 764;Karlstejn;Beroun;2:49:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:50:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:51:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:52:00;;;;;;;;
R 764;Beroun;Karlstejn;2:53:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;2:54:00;;;;;;;;
R 764;Karlstejn;Beroun;2:55:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;2:56:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;2:57:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;2:58:00;;;;;;;;
R 764;Beroun;Karlstejn;2:59:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:00:00;;;;;;;;
R 764;Karlstejn;Beroun;3:01:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:02:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:03:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:04:00;;;;;;;;
R 764;Beroun;Karlstejn;3:05:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:06:00;;;;;;;;
R 764;Karlstejn;Beroun;3:07:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:08:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:09:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:10:00;;;;;;;;
R 764;Beroun;Karlstejn;3:11:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:12:00;;;;;;;;
R 764;Karlstejn;Beroun;3:13:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:14:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:15:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:16:00;;;;;;;;
R 764;Beroun;Karlstejn;3:17:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:18:00;;;;;;;;
R 764;Karlstejn;Beroun;3:19:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:20:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:21:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:22:00;;;;;;;;
R 764;Beroun;Karlstejn;3:23:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:24:00;;;;;;;;
R 764;Karlstejn;Beroun;3:25:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:26:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:27:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:28:00;;;;;;;;
R 764;Beroun;Karlstejn;3:29:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:30:00;;;;;;;;
R 764;Karlstejn;Beroun;3:31:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:32:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:33:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:34:00;;;;;;;;
R 764;Beroun;Karlstejn;3:35:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:36:00;;;;;;;;
R 764;Karlstejn;Beroun;3:37:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:38:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:39:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:40:00;;;;;;;;
R 764;Beroun;Karlstejn;3:41:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:42:00;;;;;;;;
R 764;Karlstejn;Beroun;3:43:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:44:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:45:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:46:00;;;;;;;;
R 764;Beroun;Karlstejn;3:47:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:48:00;;;;;;;;
R 764;Karlstejn;Beroun;3:49:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:50:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:51:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:52:00;;;;;;;;
R 764;Beroun;Karlstejn;3:53:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;3:54:00;;;;;;;;
R 764;Karlstejn;Beroun;3:55:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;3:56:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;3:57:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;3:58:00;;;;;;;;
R 764;Beroun;Karlstejn;3:59:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;4:00:00;;;;;;;;
R 764;Karlstejn;Beroun;4:01:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;4:02:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;4:03:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;4:04:00;;;;;;;;
R 764;Beroun;Karlstejn;4:05:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;4:06:00;;;;;;;;
R 764;Karlstejn;Beroun;4:07:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;4:08:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;4:09:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;4:10:00;;;;;;;;
R 764;Beroun;Karlstejn;4:11:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;4:12:00;;;;;;;;
R 764;Karlstejn;Beroun;4:13:00;;;;;;;;
N 31 54 597 5 004;Beroun;Karlstejn;4:14:00;;;;;;;;
Os 8845;Karlstejn,hrad;Beroun;4:15:00;;;;;;;;
N 31 54 597 5 004;Karlstejn;Beroun;4:16:00;;;;;;;;
R 764;Beroun;Karlstejn;4:17:00;;;;;;;;
Os 8845;Beroun;Karlstejn,hrad;4:18:00;;;;;;;;
R 764;Karlstejn;Beroun;4:19:00;;;;;;;;
